RecordID,WorkerID,InductionType,InductionDate,InductionScore
4120,965,First Aid,05-06-14,14
4044,948,Equipment Handling,06-06-14,13
1168,283,First Aid,09-06-14,48
2060,492,First Aid,09-06-14,26
246,63,Fire Safety,10-06-14,62
2736,650,First Aid,12-06-14,70
1388,339,First Aid,13-06-14,89
575,146,Emergency Response,17-06-14,81
1998,480,Fire Safety,20-06-14,12
3921,917,First Aid,28-06-14,97
1725,418,Equipment Handling,10-07-14,2
542,140,Fire Safety,11-07-14,100
1375,333,Chemical Safety,21-07-14,52
1578,383,Fire Safety,21-07-14,92
2822,672,First Aid,22-07-14,85
81,19,First Aid,26-07-14,10
478,123,Chemical Safety,27-07-14,6
1241,297,Emergency Response,29-07-14,20
1209,290,Emergency Response,07-08-14,14
962,240,Emergency Response,11-08-14,94
1428,348,Fire Safety,22-08-14,40
1760,427,Fire Safety,24-08-14,1
3565,841,Fire Safety,25-08-14,90
1219,292,Emergency Response,05-09-14,90
3387,801,First Aid,06-09-14,96
3666,860,First Aid,07-09-14,98
3855,901,Chemical Safety,08-09-14,68
1919,464,Equipment Handling,17-09-14,94
2502,592,First Aid,17-09-14,6
220,56,Equipment Handling,19-09-14,30
2880,683,First Aid,19-09-14,23
1338,324,Equipment Handling,21-09-14,43
3114,740,First Aid,21-09-14,51
1660,406,Fire Safety,22-09-14,19
3898,911,First Aid,22-09-14,22
31,6,Equipment Handling,23-09-14,84
496,129,Fire Safety,23-09-14,98
3326,784,First Aid,28-09-14,98
792,201,Chemical Safety,30-09-14,34
1539,372,Fire Safety,01-10-14,89
2828,673,Fire Safety,02-10-14,98
210,55,First Aid,03-10-14,92
1879,455,Equipment Handling,03-10-14,99
766,196,Chemical Safety,05-10-14,17
3142,748,Emergency Response,05-10-14,93
3012,717,Emergency Response,06-10-14,20
140,33,First Aid,07-10-14,91
975,242,Chemical Safety,13-10-14,75
1456,356,Emergency Response,14-10-14,35
1952,472,Emergency Response,14-10-14,4
4014,942,Emergency Response,15-10-14,90
2568,606,Fire Safety,16-10-14,85
1243,298,Emergency Response,18-10-14,42
672,173,First Aid,19-10-14,56
1082,265,Equipment Handling,20-10-14,47
49,12,Equipment Handling,30-10-14,51
692,176,Equipment Handling,01-11-14,92
3316,782,Fire Safety,04-11-14,98
2615,619,Chemical Safety,07-11-14,98
1777,431,First Aid,10-11-14,68
3137,745,First Aid,10-11-14,93
2117,501,Fire Safety,12-11-14,4
3648,858,Fire Safety,12-11-14,22
1501,364,Equipment Handling,13-11-14,44
1969,474,First Aid,14-11-14,45
4109,963,First Aid,14-11-14,33
409,110,Emergency Response,15-11-14,97
4285,999,Emergency Response,16-11-14,87
1773,430,Chemical Safety,17-11-14,87
1483,362,First Aid,18-11-14,61
4222,988,Fire Safety,18-11-14,25
1945,470,Chemical Safety,19-11-14,27
2163,508,Fire Safety,21-11-14,71
2429,575,Fire Safety,26-11-14,94
795,203,First Aid,27-11-14,87
3807,891,Emergency Response,30-11-14,94
3517,830,Emergency Response,01-12-14,88
843,213,Chemical Safety,04-12-14,81
3223,763,Equipment Handling,04-12-14,37
3831,894,First Aid,05-12-14,80
7,2,Chemical Safety,07-12-14,90
2154,507,Chemical Safety,08-12-14,83
1855,451,Chemical Safety,10-12-14,80
3657,859,Fire Safety,10-12-14,17
3453,815,Emergency Response,12-12-14,6
3749,875,Equipment Handling,12-12-14,33
625,161,First Aid,14-12-14,99
2135,504,Emergency Response,14-12-14,39
2172,509,First Aid,17-12-14,100
943,235,Fire Safety,19-12-14,32
89,21,Equipment Handling,23-12-14,97
3192,758,First Aid,25-12-14,2
2420,574,Equipment Handling,27-12-14,99
2532,600,Fire Safety,28-12-14,68
2765,657,Emergency Response,29-12-14,94
468,121,Equipment Handling,30-12-14,96
930,232,Chemical Safety,30-12-14,92
2201,514,Equipment Handling,31-12-14,84
1442,353,First Aid,02-01-15,7
779,198,Chemical Safety,04-01-15,11
1474,361,Emergency Response,06-01-15,94
2177,510,First Aid,07-01-15,84
3797,890,First Aid,11-01-15,9
2806,667,Equipment Handling,12-01-15,47
1815,439,Emergency Response,13-01-15,46
4212,987,Fire Safety,14-01-15,6
2091,497,First Aid,17-01-15,80
4029,944,Fire Safety,26-01-15,77
3085,729,Fire Safety,01-02-15,84
3969,929,Fire Safety,01-02-15,5
4146,972,Fire Safety,02-02-15,58
458,120,Emergency Response,03-02-15,98
2023,484,Emergency Response,08-02-15,34
3545,835,Emergency Response,08-02-15,89
1232,296,Chemical Safety,09-02-15,53
1687,412,Equipment Handling,10-02-15,94
3724,870,First Aid,12-02-15,26
1753,423,Emergency Response,19-02-15,83
4199,985,Emergency Response,20-02-15,79
1635,399,Equipment Handling,23-02-15,48
2976,707,Fire Safety,23-02-15,49
3779,884,Chemical Safety,24-02-15,65
1620,393,Equipment Handling,25-02-15,29
4171,978,Fire Safety,01-03-15,3
985,243,Chemical Safety,04-03-15,94
1039,255,Emergency Response,04-03-15,87
2605,616,First Aid,13-03-15,50
1591,386,First Aid,15-03-15,100
828,211,Fire Safety,16-03-15,83
2731,649,First Aid,16-03-15,52
116,26,Chemical Safety,18-03-15,91
3090,732,Fire Safety,18-03-15,28
2849,677,Emergency Response,20-03-15,41
3463,817,Equipment Handling,24-03-15,97
1333,323,Fire Safety,25-03-15,13
4180,982,First Aid,25-03-15,74
2541,601,Emergency Response,26-03-15,60
3862,904,Chemical Safety,26-03-15,93
3846,900,Equipment Handling,01-04-15,86
3733,871,First Aid,04-04-15,100
502,133,First Aid,05-04-15,93
884,223,Chemical Safety,05-04-15,80
1298,313,Emergency Response,05-04-15,97
2354,559,First Aid,06-04-15,35
2246,527,First Aid,08-04-15,13
1406,342,First Aid,10-04-15,84
2871,682,Chemical Safety,10-04-15,90
3304,780,Fire Safety,13-04-15,12
4235,990,Emergency Response,20-04-15,64
2559,605,Fire Safety,21-04-15,26
1152,280,Equipment Handling,24-04-15,31
4141,970,Fire Safety,03-05-15,71
3320,783,Emergency Response,04-05-15,46
2015,483,Fire Safety,05-05-15,47
2650,627,Emergency Response,05-05-15,64
1178,284,Fire Safety,08-05-15,94
2840,675,First Aid,10-05-15,88
4062,953,First Aid,16-05-15,78
1698,414,Fire Safety,22-05-15,83
702,179,Emergency Response,23-05-15,51
36,8,First Aid,25-05-15,80
2074,494,Equipment Handling,29-05-15,32
2487,588,Fire Safety,30-05-15,42
3049,723,Fire Safety,30-05-15,64
1870,454,First Aid,01-06-15,92
3126,743,Fire Safety,05-06-15,80
4045,948,Equipment Handling,06-06-15,2
2901,688,Chemical Safety,08-06-15,80
1169,283,Chemical Safety,09-06-15,44
2061,492,First Aid,09-06-15,65
247,63,First Aid,10-06-15,51
1492,363,Equipment Handling,10-06-15,58
170,43,Emergency Response,11-06-15,9
3170,752,Emergency Response,11-06-15,42
2737,650,First Aid,12-06-15,95
1389,339,First Aid,13-06-15,73
3983,934,Emergency Response,15-06-15,99
643,167,Emergency Response,16-06-15,87
576,146,First Aid,17-06-15,64
1999,480,Equipment Handling,20-06-15,100
2100,498,Emergency Response,23-06-15,92
2312,544,Equipment Handling,24-06-15,98
2676,635,First Aid,24-06-15,80
1645,402,Emergency Response,28-06-15,94
3922,917,First Aid,28-06-15,34
3784,887,Chemical Safety,06-07-15,80
1786,432,First Aid,07-07-15,82
1726,418,Equipment Handling,10-07-15,89
543,140,First Aid,11-07-15,25
4189,983,Equipment Handling,12-07-15,67
1376,333,Fire Safety,21-07-15,98
1579,383,First Aid,21-07-15,77
2823,672,First Aid,22-07-15,99
3943,923,Emergency Response,22-07-15,5
82,19,Fire Safety,26-07-15,45
479,123,Chemical Safety,27-07-15,18
3525,831,Chemical Safety,27-07-15,6
560,143,Emergency Response,28-07-15,92
2572,607,Chemical Safety,01-08-15,69
253,65,First Aid,03-08-15,67
1210,290,Fire Safety,07-08-15,78
1276,309,Equipment Handling,07-08-15,73
963,240,Fire Safety,11-08-15,84
3608,849,Equipment Handling,11-08-15,94
1569,380,Fire Safety,17-08-15,50
2147,506,Chemical Safety,17-08-15,78
2926,695,First Aid,18-08-15,23
572,145,First Aid,20-08-15,92
1429,348,Emergency Response,22-08-15,87
430,114,Emergency Response,23-08-15,86
1761,427,Fire Safety,24-08-15,44
3566,841,First Aid,25-08-15,96
2944,701,Equipment Handling,26-08-15,76
1611,390,Equipment Handling,28-08-15,66
3384,800,Equipment Handling,02-09-15,95
1602,388,Chemical Safety,06-09-15,16
3388,801,Emergency Response,06-09-15,2
3667,860,First Aid,07-09-15,83
3856,901,Chemical Safety,08-09-15,6
1029,252,First Aid,09-09-15,81
3158,750,Chemical Safety,12-09-15,91
743,190,Equipment Handling,14-09-15,87
1920,464,Emergency Response,17-09-15,96
2503,592,Chemical Safety,17-09-15,83
2790,662,Fire Safety,17-09-15,83
221,56,Fire Safety,19-09-15,17
2881,683,Fire Safety,19-09-15,38
1339,324,First Aid,21-09-15,91
3115,740,Fire Safety,21-09-15,83
1661,406,Emergency Response,22-09-15,16
3899,911,Fire Safety,22-09-15,84
32,6,Equipment Handling,23-09-15,82
1048,256,Chemical Safety,28-09-15,2
3327,784,Emergency Response,28-09-15,47
198,51,Emergency Response,30-09-15,83
1540,372,Chemical Safety,01-10-15,82
2829,673,First Aid,02-10-15,64
211,55,Equipment Handling,03-10-15,90
1880,455,Chemical Safety,03-10-15,99
767,196,Chemical Safety,05-10-15,49
3143,748,Equipment Handling,05-10-15,41
276,74,Chemical Safety,06-10-15,11
3013,717,First Aid,06-10-15,17
141,33,Equipment Handling,07-10-15,94
976,242,Emergency Response,13-10-15,45
1457,356,First Aid,14-10-15,87
1953,472,Equipment Handling,14-10-15,83
4015,942,First Aid,15-10-15,81
455,119,Equipment Handling,16-10-15,68
1516,366,First Aid,16-10-15,28
2569,606,Chemical Safety,16-10-15,89
3774,883,Equipment Handling,16-10-15,100
673,173,Equipment Handling,19-10-15,92
1083,265,Fire Safety,20-10-15,99
3054,724,Fire Safety,22-10-15,64
98,22,First Aid,24-10-15,86
50,12,Equipment Handling,30-10-15,93
693,176,First Aid,01-11-15,95
2444,577,Fire Safety,04-11-15,100
3317,782,Emergency Response,04-11-15,31
1021,251,Equipment Handling,05-11-15,32
3759,880,Equipment Handling,06-11-15,89
2616,619,Emergency Response,07-11-15,83
2905,691,Chemical Safety,07-11-15,11
1778,431,Equipment Handling,10-11-15,97
3138,745,Fire Safety,10-11-15,67
2118,501,Chemical Safety,12-11-15,88
3649,858,Fire Safety,12-11-15,83
1502,364,First Aid,13-11-15,86
1970,474,Emergency Response,14-11-15,87
4110,963,Emergency Response,14-11-15,92
410,110,Emergency Response,15-11-15,96
193,49,Fire Safety,16-11-15,34
2893,687,Chemical Safety,16-11-15,15
4286,999,Fire Safety,16-11-15,17
1774,430,First Aid,17-11-15,90
1484,362,Chemical Safety,18-11-15,87
4223,988,Emergency Response,18-11-15,100
2164,508,Equipment Handling,21-11-15,75
2221,518,Chemical Safety,25-11-15,87
2430,575,Emergency Response,26-11-15,24
796,203,Chemical Safety,27-11-15,13
1908,462,Equipment Handling,27-11-15,94
3808,891,Emergency Response,30-11-15,89
3518,830,Chemical Safety,01-12-15,64
844,213,Chemical Safety,04-12-15,80
3224,763,Emergency Response,04-12-15,60
4207,986,Equipment Handling,04-12-15,36
8,2,Equipment Handling,07-12-15,100
3275,773,Emergency Response,07-12-15,45
2155,507,Chemical Safety,08-12-15,5
1856,451,Emergency Response,10-12-15,95
3658,859,Chemical Safety,10-12-15,98
3454,815,Equipment Handling,12-12-15,83
3750,875,Emergency Response,12-12-15,99
2304,543,Emergency Response,13-12-15,99
626,161,First Aid,14-12-15,96
2136,504,Chemical Safety,14-12-15,90
2173,509,Chemical Safety,17-12-15,77
944,235,Emergency Response,19-12-15,81
2775,659,Chemical Safety,19-12-15,85
3823,893,Equipment Handling,19-12-15,46
3426,811,Equipment Handling,21-12-15,74
90,21,First Aid,23-12-15,1
3193,758,Fire Safety,25-12-15,35
2421,574,Chemical Safety,27-12-15,97
2533,600,Emergency Response,28-12-15,81
2766,657,Fire Safety,29-12-15,74
469,121,Chemical Safety,30-12-15,80
931,232,First Aid,30-12-15,95
2202,514,Equipment Handling,31-12-15,56
1443,353,Fire Safety,02-01-16,37
1961,473,Fire Safety,03-01-16,47
780,198,Chemical Safety,04-01-16,65
1475,361,Fire Safety,06-01-16,85
2178,510,First Aid,07-01-16,52
3798,890,Fire Safety,11-01-16,93
2517,597,Equipment Handling,12-01-16,59
2807,667,Chemical Safety,12-01-16,23
1281,310,Fire Safety,13-01-16,93
1816,439,First Aid,13-01-16,67
4213,987,Equipment Handling,14-01-16,87
2092,497,Emergency Response,17-01-16,81
3441,813,First Aid,17-01-16,100
2811,670,Emergency Response,19-01-16,47
492,128,Chemical Safety,23-01-16,95
4030,944,Chemical Safety,26-01-16,90
3970,929,Fire Safety,01-02-16,81
4147,972,Chemical Safety,02-02-16,99
459,120,Emergency Response,03-02-16,51
22,5,Fire Safety,07-02-16,94
2024,484,Chemical Safety,08-02-16,61
3546,835,Equipment Handling,08-02-16,95
1233,296,Fire Safety,09-02-16,6
1688,412,Chemical Safety,10-02-16,98
1807,438,First Aid,12-02-16,40
3227,764,Equipment Handling,12-02-16,30
3725,870,First Aid,12-02-16,80
2251,529,First Aid,14-02-16,93
2392,568,Fire Safety,14-02-16,95
304,79,Chemical Safety,15-02-16,17
3068,726,Chemical Safety,16-02-16,87
1754,423,Equipment Handling,19-02-16,95
4200,985,Equipment Handling,20-02-16,99
2985,708,Emergency Response,22-02-16,84
2977,707,First Aid,23-02-16,87
1621,393,Chemical Safety,25-02-16,26
3884,909,Equipment Handling,26-02-16,42
3767,881,Chemical Safety,28-02-16,47
4172,978,Fire Safety,01-03-16,87
2131,503,First Aid,03-03-16,31
3502,827,Emergency Response,03-03-16,87
986,243,First Aid,04-03-16,24
1040,255,Emergency Response,04-03-16,21
2606,616,Fire Safety,13-03-16,81
1592,386,Chemical Safety,15-03-16,84
313,81,Equipment Handling,16-03-16,98
829,211,First Aid,16-03-16,54
2732,649,First Aid,16-03-16,93
117,26,Chemical Safety,18-03-16,20
3091,732,Emergency Response,18-03-16,44
2363,560,Fire Safety,20-03-16,86
2850,677,Chemical Safety,20-03-16,94
3562,839,Fire Safety,22-03-16,26
3464,817,Equipment Handling,24-03-16,34
1334,323,Emergency Response,25-03-16,86
3534,832,First Aid,25-03-16,45
4181,982,First Aid,25-03-16,47
681,174,Emergency Response,26-03-16,85
2542,601,Equipment Handling,26-03-16,86
3863,904,Chemical Safety,26-03-16,88
939,233,Equipment Handling,28-03-16,53
4244,991,Emergency Response,29-03-16,84
3847,900,Emergency Response,01-04-16,81
1244,299,Equipment Handling,04-04-16,86
3734,871,Chemical Safety,04-04-16,86
290,77,Equipment Handling,05-04-16,71
503,133,First Aid,05-04-16,60
885,223,Equipment Handling,05-04-16,93
1299,313,Fire Safety,05-04-16,100
2355,559,Emergency Response,06-04-16,57
2247,527,First Aid,08-04-16,91
415,111,Fire Safety,09-04-16,90
1407,342,First Aid,10-04-16,23
2872,682,Equipment Handling,10-04-16,100
400,106,Chemical Safety,13-04-16,11
3305,780,Equipment Handling,13-04-16,2
637,165,Fire Safety,20-04-16,7
4236,990,First Aid,20-04-16,90
1013,250,Equipment Handling,21-04-16,96
2560,605,Equipment Handling,21-04-16,93
2294,539,Fire Safety,23-04-16,31
1153,280,First Aid,24-04-16,92
3282,775,First Aid,29-04-16,18
4142,970,Fire Safety,03-05-16,98
3321,783,Equipment Handling,04-05-16,81
1098,267,Equipment Handling,05-05-16,75
2016,483,Emergency Response,05-05-16,56
2651,627,Equipment Handling,05-05-16,86
1179,284,Emergency Response,08-05-16,97
1692,413,Emergency Response,08-05-16,33
383,102,Emergency Response,13-05-16,41
4063,953,Equipment Handling,16-05-16,99
1321,318,Fire Safety,18-05-16,91
2192,513,First Aid,18-05-16,11
1699,414,First Aid,22-05-16,91
703,179,First Aid,23-05-16,97
528,138,Equipment Handling,24-05-16,97
37,8,First Aid,25-05-16,90
2075,494,Equipment Handling,29-05-16,92
2488,588,Equipment Handling,30-05-16,98
3050,723,First Aid,30-05-16,98
1871,454,Fire Safety,01-06-16,49
2841,676,First Aid,03-06-16,91
2784,661,Fire Safety,04-06-16,92
3127,743,Chemical Safety,05-06-16,32
816,208,Fire Safety,06-06-16,11
4046,948,Emergency Response,06-06-16,97
3021,718,Chemical Safety,08-06-16,48
3477,821,Chemical Safety,08-06-16,93
1170,283,Chemical Safety,09-06-16,90
2062,492,First Aid,09-06-16,62
1493,363,Chemical Safety,10-06-16,16
3971,930,Chemical Safety,10-06-16,13
171,43,Equipment Handling,11-06-16,39
350,91,Equipment Handling,11-06-16,84
2796,665,Emergency Response,11-06-16,49
1637,401,Chemical Safety,12-06-16,57
2738,650,Chemical Safety,12-06-16,49
1390,339,Fire Safety,13-06-16,1
3984,934,Fire Safety,15-06-16,61
644,167,Chemical Safety,16-06-16,42
577,146,First Aid,17-06-16,12
2689,640,Chemical Safety,18-06-16,2
2000,480,First Aid,20-06-16,90
3171,753,Fire Safety,20-06-16,82
2101,498,First Aid,23-06-16,91
2313,544,First Aid,24-06-16,50
2677,635,Emergency Response,24-06-16,22
1646,402,Emergency Response,28-06-16,80
3923,917,Equipment Handling,28-06-16,81
3290,776,Emergency Response,30-06-16,49
334,87,First Aid,03-07-16,90
3077,728,Fire Safety,03-07-16,57
1675,409,Chemical Safety,06-07-16,73
3785,887,Equipment Handling,06-07-16,89
3796,889,Equipment Handling,06-07-16,100
1787,432,Chemical Safety,07-07-16,6
1727,418,First Aid,10-07-16,0
544,140,First Aid,11-07-16,73
4190,983,Emergency Response,12-07-16,87
2913,692,Fire Safety,13-07-16,93
2045,489,Emergency Response,15-07-16,13
2717,647,Emergency Response,16-07-16,91
1377,333,First Aid,21-07-16,7
1580,383,Equipment Handling,21-07-16,34
2109,499,Emergency Response,22-07-16,90
2824,672,Equipment Handling,22-07-16,82
3944,923,Equipment Handling,22-07-16,89
3495,826,Chemical Safety,25-07-16,87
480,123,Equipment Handling,27-07-16,10
3526,831,Fire Safety,27-07-16,23
3708,867,Equipment Handling,27-07-16,81
561,143,Chemical Safety,28-07-16,48
564,144,Chemical Safety,29-07-16,41
2573,607,Chemical Safety,01-08-16,96
319,84,First Aid,03-08-16,0
1211,290,Equipment Handling,07-08-16,37
1277,309,Chemical Safety,07-08-16,76
3421,809,Chemical Safety,09-08-16,85
964,240,Chemical Safety,11-08-16,85
3609,849,Emergency Response,11-08-16,61
1843,448,Fire Safety,12-08-16,20
2956,704,First Aid,14-08-16,7
4261,995,Equipment Handling,15-08-16,11
2148,506,Equipment Handling,17-08-16,99
2927,695,Equipment Handling,18-08-16,96
573,145,First Aid,20-08-16,86
3203,760,Emergency Response,20-08-16,72
431,114,Fire Safety,23-08-16,4
1762,427,Chemical Safety,24-08-16,88
3404,804,Emergency Response,24-08-16,84
1824,440,Equipment Handling,25-08-16,84
3567,841,Equipment Handling,25-08-16,98
3920,916,Chemical Safety,25-08-16,53
2945,701,First Aid,26-08-16,96
518,136,Fire Safety,28-08-16,93
2862,681,Chemical Safety,31-08-16,100
1353,328,Chemical Safety,01-09-16,82
3385,800,First Aid,02-09-16,76
1603,388,Emergency Response,06-09-16,33
3389,801,First Aid,06-09-16,35
1360,330,Chemical Safety,07-09-16,82
3668,860,Fire Safety,07-09-16,30
3857,901,Chemical Safety,08-09-16,32
1030,252,First Aid,09-09-16,41
3216,762,Fire Safety,11-09-16,83
3159,750,First Aid,12-09-16,15
744,190,First Aid,14-09-16,87
3124,742,First Aid,14-09-16,57
3351,790,Chemical Safety,16-09-16,87
1921,464,Equipment Handling,17-09-16,82
2504,592,Fire Safety,17-09-16,96
2791,662,Emergency Response,17-09-16,33
222,56,First Aid,19-09-16,86
2882,683,Emergency Response,19-09-16,84
1340,324,Emergency Response,21-09-16,76
3116,740,First Aid,21-09-16,85
1662,406,Emergency Response,22-09-16,89
3900,911,Chemical Safety,22-09-16,1
33,6,Equipment Handling,23-09-16,63
297,78,Fire Safety,23-09-16,80
144,34,Fire Safety,27-09-16,50
1049,256,Chemical Safety,28-09-16,83
3328,784,Chemical Safety,28-09-16,12
199,51,Equipment Handling,30-09-16,48
1291,312,Fire Safety,01-10-16,99
1541,372,Chemical Safety,01-10-16,99
3716,868,Chemical Safety,01-10-16,15
2830,673,Equipment Handling,02-10-16,80
212,55,First Aid,03-10-16,89
1881,455,Equipment Handling,03-10-16,69
3241,766,Fire Safety,03-10-16,89
1613,392,Fire Safety,04-10-16,53
768,196,Emergency Response,05-10-16,85
3144,748,Equipment Handling,05-10-16,58
277,74,Fire Safety,06-10-16,82
3014,717,Fire Safety,06-10-16,27
142,33,Emergency Response,07-10-16,70
2453,579,Chemical Safety,10-10-16,97
977,242,Fire Safety,13-10-16,12
1458,356,Emergency Response,14-10-16,80
1954,472,Chemical Safety,14-10-16,26
265,72,Emergency Response,15-10-16,98
4016,942,Chemical Safety,15-10-16,31
456,119,Chemical Safety,16-10-16,100
1517,366,Emergency Response,16-10-16,33
2570,606,Fire Safety,16-10-16,27
3775,883,Equipment Handling,16-10-16,90
674,173,First Aid,19-10-16,95
3255,769,First Aid,19-10-16,80
1084,265,First Aid,20-10-16,47
3055,724,Fire Safety,22-10-16,88
99,22,Chemical Safety,24-10-16,76
51,12,Fire Safety,30-10-16,18
3259,770,Emergency Response,30-10-16,49
2445,577,Chemical Safety,04-11-16,93
3318,782,Equipment Handling,04-11-16,8
1022,251,Equipment Handling,05-11-16,94
3594,846,First Aid,06-11-16,92
3760,880,Equipment Handling,06-11-16,83
2290,538,Emergency Response,07-11-16,91
2617,619,Emergency Response,07-11-16,74
2906,691,First Aid,07-11-16,80
1779,431,Chemical Safety,10-11-16,88
2997,713,Chemical Safety,10-11-16,91
3039,721,Fire Safety,11-11-16,16
2119,501,Emergency Response,12-11-16,41
3650,858,Chemical Safety,12-11-16,87
160,39,Emergency Response,13-11-16,89
1503,364,Chemical Safety,13-11-16,83
1971,474,Equipment Handling,14-11-16,79
4111,963,Chemical Safety,14-11-16,66
4247,992,Emergency Response,14-11-16,99
411,110,Fire Safety,15-11-16,72
194,49,Equipment Handling,16-11-16,90
439,115,Equipment Handling,16-11-16,46
2894,687,Chemical Safety,16-11-16,84
1775,430,Emergency Response,17-11-16,91
3487,824,First Aid,17-11-16,35
1485,362,Fire Safety,18-11-16,83
4224,988,Emergency Response,18-11-16,88
2165,508,Fire Safety,21-11-16,88
2222,518,Equipment Handling,25-11-16,54
2431,575,Emergency Response,26-11-16,52
4113,964,Fire Safety,26-11-16,98
797,203,Emergency Response,27-11-16,58
1909,462,Emergency Response,27-11-16,89
3434,812,Emergency Response,30-11-16,58
3809,891,Chemical Safety,30-11-16,67
4269,996,Equipment Handling,30-11-16,42
3519,830,Chemical Safety,01-12-16,33
961,239,Chemical Safety,03-12-16,98
845,213,Chemical Safety,04-12-16,26
3225,763,Equipment Handling,04-12-16,85
4208,986,First Aid,04-12-16,90
157,38,Equipment Handling,06-12-16,92
9,2,Emergency Response,07-12-16,93
2371,561,Chemical Safety,07-12-16,92
3276,773,Emergency Response,07-12-16,15
2156,507,Fire Safety,08-12-16,30
1857,451,Equipment Handling,10-12-16,96
3659,859,Fire Safety,10-12-16,95
3455,815,Fire Safety,12-12-16,92
3751,875,Equipment Handling,12-12-16,37
2305,543,Chemical Safety,13-12-16,95
3554,837,Fire Safety,13-12-16,32
627,161,Emergency Response,14-12-16,98
2137,504,Equipment Handling,14-12-16,78
2174,509,First Aid,17-12-16,57
873,220,Chemical Safety,19-12-16,88
945,235,Fire Safety,19-12-16,98
2776,659,Chemical Safety,19-12-16,99
3180,755,Chemical Safety,19-12-16,100
3824,893,Fire Safety,19-12-16,88
719,182,Chemical Safety,21-12-16,25
3427,811,First Aid,21-12-16,2
4161,975,Chemical Safety,21-12-16,86
91,21,Equipment Handling,23-12-16,48
3973,931,Fire Safety,23-12-16,86
3194,758,Emergency Response,25-12-16,78
4121,966,Chemical Safety,25-12-16,75
1570,381,Chemical Safety,27-12-16,37
2422,574,Fire Safety,27-12-16,94
2534,600,Equipment Handling,28-12-16,87
2767,657,Chemical Safety,29-12-16,94
470,121,Chemical Safety,30-12-16,29
932,232,Emergency Response,30-12-16,91
2203,514,Fire Safety,31-12-16,79
1444,353,Equipment Handling,02-01-17,83
866,219,Chemical Safety,03-01-17,61
1962,473,Emergency Response,03-01-17,96
1476,361,Fire Safety,06-01-17,83
3089,731,Fire Safety,06-01-17,86
2179,510,Chemical Safety,07-01-17,65
4176,980,Fire Safety,10-01-17,81
3799,890,Chemical Safety,11-01-17,92
2459,580,Chemical Safety,12-01-17,93
2518,597,Fire Safety,12-01-17,89
1282,310,Emergency Response,13-01-17,88
1817,439,First Aid,13-01-17,94
1718,417,Chemical Safety,14-01-17,96
2619,621,Fire Safety,14-01-17,81
4214,987,Equipment Handling,14-01-17,92
2093,497,Chemical Safety,17-01-17,93
3442,813,Fire Safety,17-01-17,91
1752,422,Emergency Response,18-01-17,54
2812,670,Fire Safety,19-01-17,95
1892,457,First Aid,21-01-17,86
493,128,Fire Safety,23-01-17,85
4031,944,First Aid,26-01-17,95
1193,287,First Aid,30-01-17,98
